Continent,Country or State,Province or City,Shop Name,Shop Age,PC Make,PC Model,Storage Type,RAM,Storage Capacity,Customer Name,Customer Surname,Customer Contact Number,Customer Email Address,Sales Person Name,Sales Person Department,Payment Method,Purchase Date,Ship Date,Channel,Priority,Cost of Repairs,Total Sales per Employee,PC Market Price,Finance Amount,Credit Score,Discount Amount,Cost Price,Sale Price
Africa,Morocco,Azilal,S & A Computer Place,4,MSI,Alpha 15,HDD,4GB,500GB,Kyle,Harmon,253-644-9959x52009,josephvasquez@example.net,Emma Scott,Returns,Bank Transfer,45279,45298,Online,Medium,0,671,29696,0,580,901,28098,31040
North America,North Carolina,Havelock,LJ Computers,6,Apple,Apple Mac Pro,SSD,2GB,1TB,Christopher,Campos,001-867-181-4348x6593,ysanchez@example.net,Tony Valenzuela,Returns,Cash,44451,44454,Online,Medium,0,682,8064,0,418,62,6881,11746
North America,Texas,Abilene,A & A PCs,2,Lenovo,Legion 5,SSD,2GB,1TB,John,Reyes,189228254,jessica62@example.com,Diana Rodriguez,New Sales,Finance,44970,44980,Online,Low,0,523,22000,5823,761,318,18701,22222
Africa,Botswana,Central,Western International PCs,2,Samsung,Notebook 5,HDD,4GB,256GB,Vanessa,Boyd,363.814.2384,nicolegonzalez@example.com,Melissa Dunn,Second-hand Sales,Finance,44774,N/A,Offline,High,0,671,12532,47675,706,515,11714,13926
Africa,Tanzania,Manyara,DEF Machines,2,Dell,Precision,SSD,16GB,1TB,Shannon,Freeman,524-471-5326x826,lyoung@example.org,Jennifer Morales,Repairs,Bank Transfer,45072,45095,Online,Low,4931,557,10948,0,760,410,9261,14136
Africa,Kenya,Siaya,Jacks Hardware,9,HP,Elitebook,HDD,16GB,256GB,Cathy,Price,740-532-2618,lbryan@example.net,Tonya Nolan,New Sales,Cash,45293,45321,Online,Low,0,816,20454,0,728,112,17758,22498
Africa,Nigeria,Zamfara,GH PC Shop,4,HP,Spectre,HDD,16GB,500GB,Robert,Wood,+1-437-479-3301x31977,anthony69@example.com,Diana Waters,Second-hand Sales,Bank Transfer,44301,N/A,Offline,Low,0,807,27529,0,440,333,26343,28768
Africa,Kenya,Bungoma,DEF Machines,4,Microsoft,Surface Hub,SSD,2GB,500GB,Richard,Frye,+1-382-726-8974x7448,portermonica@example.com,Amy Johnson,Repairs,Bank Transfer,44682,44688,Online,High,2589,981,30011,0,595,520,28302,30373
Africa,Angola,Benguela,DEF Machines,8,Microsoft,Surface Neo,HDD,4GB,500GB,Scott,Lawson,(710)273-3054x96921,samantha25@example.net,Cassidy Mason,New Sales,Bank Transfer,45271,N/A,Offline,High,0,743,22822,0,496,593,21491,25949
Africa,South Africa,Northern Cape,ABC Computers,3,Toshiba,Qosmio,SSD,2GB,1TB,Roberto,Murray,2216962432,joseph07@example.net,Pamela Zavala,Repairs,Finance,45225,N/A,Offline,Medium,3516,722,28243,16614,473,830,26025,29391
Africa,Nigeria,Borno,XYZ Tech,2,Acer,Predator Triton 500,HDD,4GB,1TB,Marc,Walker,+1-039-197-5976x92508,bobby21@example.org,Diana Waters,Returns,Finance,45061,N/A,Offline,High,0,817,6184,41579,537,174,5202,9678
Africa,Tanzania,Mara,CK Tech Store,3,Microsoft,Surface Pro,SSD,16GB,500GB,Cindy,Davis,4326458783,whitney58@example.net,Mary Fisher,New Sales,Bank Transfer,44707,N/A,Offline,Low,0,697,18410,0,678,897,17782,21769
North America,California,San Diego,LJ Computers,7,Asus,TUF Gaming A15,HDD,4GB,1TB,Jeff,Hamilton,(856)281-3635x3047,jessica96@example.net,Joy Holt,Repairs,Cash,44779,N/A,Offline,Medium,1095,789,20581,0,545,951,20574,22717
North America,Georgia,Douglasville,Greens Laptops and PCs,6,Acer,Aspire 7,SSD,16GB,256GB,Sharon,Massey,+1-134-873-8647x358,kimberly30@example.org,Michael Collins,New Sales,Cash,44581,44605,Online,Medium,0,703,4400,0,782,101,4317,8816
Africa,Nigeria,Yobe,XYZ Tech,5,MSI,GS66 Stealth,SSD,8GB,1TB,Benjamin,Mayer,2883270457,johnlin@example.org,Lisa Morgan,Returns,Cash,44270,N/A,Offline,Medium,0,424,13600,0,789,727,12863,15128
Africa,Morocco,Fahs Anjra,Western International PCs,4,Samsung,Notebook 9 Pro,SSD,16GB,1TB,Patrick,Owens,9718561441,parkserin@example.com,Amy Owens,Returns,Finance,44650,N/A,Offline,Low,0,87,9258,12253,798,506,8835,11009
North America,Michigan,East Lansing,CK Tech Store,3,HP,Envy,HDD,8GB,256GB,Ronnie,Fisher,430-954-2512,xsharp@example.org,Erika Larsen,Second-hand Sales,Bank Transfer,45042,45072,Online,High,0,157,13931,0,567,668,13588,16477
Africa,Nigeria,Niger,Mini Tech,6,Samsung,Galaxy Chromebook 2,HDD,16GB,256GB,Christina,Jackson,001-465-013-9160x807,kenneth60@example.net,Lisa Morgan,Returns,Bank Transfer,44367,N/A,Offline,High,0,856,18358,0,504,202,17133,19196
North America,California,Stockton,Western International PCs,4,Acer,Spin 5,HDD,16GB,1TB,Shaun,Sutton,970.304.7252,greenemelinda@example.com,Rachel Mitchell,Second-hand Sales,Bank Transfer,45068,N/A,Offline,High,0,938,27712,0,544,790,24024,27975
North America,Illinois,Berwyn,Jacks Hardware,8,Lenovo,IdeaCentre AIO 3,SSD,2GB,256GB,Christina,Warren,001-260-986-7951x90918,cathy71@example.net,Jason Phillips,New Sales,Bank Transfer,45285,N/A,Offline,Medium,0,593,24785,0,618,309,24764,28518
North America,California,Chula Vista,ABC Computers,8,MSI,GS66 Stealth,HDD,8GB,1TB,Kerry,Williams,142.837.2973,qjohnson@example.org,Alyssa Martinez,Repairs,Cash,45226,45256,Online,High,3299,977,8998,0,429,14,7557,11725
North America,Michigan,Royal Oak,A & A PCs,4,Apple,Apple iMac,HDD,8GB,1TB,Brenda,Hodge,(666)966-2420,christopherbennett@example.net,Allen Juarez,Returns,Finance,44882,N/A,Offline,Medium,0,363,27854,21373,589,634,25977,29202
Africa,Kenya,Nakuru,Jacks Hardware,4,Asus,ROG Strix Scar III,HDD,2GB,500GB,Erin,Williams,287.920.6275x7777,adrianjohnson@example.com,Kenneth Moore,New Sales,Bank Transfer,44583,44598,Online,High,0,977,19877,0,740,380,19361,21367
Africa,Tanzania,Pemba Kusini,Frankies Hardware and Software,6,Apple,Apple PowerBook G4,SSD,16GB,256GB,Christopher,Long,+1-838-470-0689x7919,sandovalrussell@example.org,Alicia Evans,New Sales,Cash,44841,44860,Online,High,0,306,19402,0,778,699,17109,20011
North America,Florida,Hialeah,Ricks Computers,2,Microsoft,Surface Book,SSD,4GB,500GB,Elizabeth,Becker,826-331-4982,vmitchell@example.com,Alexis Murray,Second-hand Sales,Bank Transfer,44731,44750,Online,Medium,0,321,22856,0,518,179,20756,22946
North America,California,Irvine,KyaSand Tech Gadgets,10,Samsung,Notebook Odyssey,HDD,2GB,500GB,Pamela,Mcneil,655-774-3937x780,petersontammy@example.com,Larry Smith,Second-hand Sales,Finance,44363,N/A,Offline,Medium,0,101,12247,17276,544,729,10910,14333
Africa,Morocco,Ouezzane,LJ Computers,4,Dell,Precision,SSD,4GB,256GB,Grant,Robertson,181965151,melissawood@example.net,Gina Day,Second-hand Sales,Bank Transfer,45033,N/A,Offline,High,0,825,18164,0,740,84,15191,18781
Africa,South Africa,Gauteng,Greens Laptops and PCs,9,Asus,ZenBook Flip S UX371,SSD,4GB,500GB,Lisa,Kaiser,(298)656-7674,meganwolfe@example.net,Mary Nelson,Returns,Finance,44348,N/A,Offline,High,0,143,10101,37658,428,688,6794,10781
North America,Illinois,Orland Park,ABC Computers,8,Lenovo,ThinkPad T14,HDD,16GB,500GB,Jennifer,Roach,(080)276-3367x495,joshualawrence@example.net,Glenda Cohen,Repairs,Cash,44508,44537,Online,High,2046,434,27024,0,657,121,25958,29343
Africa,Nigeria,Ondo,Ricks Computers,10,HP,Spectre,HDD,4GB,500GB,Lisa,Lynn,(652)783-8113x942,grace35@example.org,Mary Shaw,New Sales,Finance,44546,N/A,Offline,Low,0,733,18827,18995,817,51,16949,19423
North America,Illinois,Berwyn,GH PC Shop,6,Asus,VivoBook S14,HDD,4GB,256GB,Patricia,Roberts,674.737.0858,ryanchristopher@example.org,Daniel Serrano,Repairs,Finance,44753,44755,Online,Medium,4951,247,29698,11175,761,618,28751,30808
Africa,Kenya,Tharaka-Nithi,DEF Machines,3,Apple,Apple Macintosh Classic,HDD,2GB,256GB,Kimberly,Peters,(100)703-7041,pennycobb@example.net,Cassandra Mcmillan,Repairs,Bank Transfer,44927,44931,Online,Medium,1815,736,17590,0,785,971,15261,19210
Africa,Botswana,Ghanzi,Greens Laptops and PCs,9,Lenovo,ThinkCentre M920 Tiny,SSD,4GB,256GB,Angela,Brown,(566)426-0077,wellsangela@example.org,Sarah Riley,Repairs,Bank Transfer,44958,44979,Online,Low,4934,130,21342,0,689,297,17334,22130
Africa,Ghana,Northern,Ricks Computers,2,Asus,VivoBook S14,HDD,16GB,256GB,Brooke,Jones,(832)592-6431,gina83@example.net,Troy Howell,New Sales,Bank Transfer,45226,45250,Online,Low,0,370,24367,0,815,631,21520,26144
North America,Illinois,Waukegan,ABC Computers,5,Asus,ExpertBook B9,SSD,8GB,1TB,Nichole,May,+1-594-718-8830x555,johnsonjeffrey@example.org,Ashley Jones,Second-hand Sales,Finance,44326,44332,Online,Medium,0,432,13309,18443,522,20,11127,15831
Africa,Kenya,Kitui,ABC Computers,3,MSI,Alpha 15,HDD,4GB,1TB,Nicholas,Alexander,001-555-339-7850x168,anthony38@example.net,Kenneth Moore,Returns,Cash,45200,N/A,Offline,Low,0,969,16161,0,516,938,13849,16865
North America,California,Fresno,CK Tech Store,10,Toshiba,Dynabook,SSD,2GB,256GB,Matthew,Smith,7182073394,john84@example.com,Joe Black,Returns,Cash,45218,45238,Online,Low,0,668,26663,0,497,909,24130,27031
North America,North Carolina,Gastonia,Benjis Tech,9,Acer,Chromebook Spin 311,HDD,2GB,500GB,Madeline,Armstrong,870.710.3196x3586,michael26@example.net,Craig Wheeler,New Sales,Finance,44348,N/A,Offline,Medium,0,546,21275,34519,431,141,19746,23575
North America,North Carolina,Salisbury,Greens Laptops and PCs,4,Microsoft,Surface Pro,HDD,2GB,1TB,Carolyn,Carter,(714)403-0106x45431,gking@example.org,Brittany Franklin,New Sales,Finance,45248,N/A,Offline,Medium,0,153,28403,5254,809,78,25966,30237
Africa,Angola,Namibe,GH PC Shop,7,Samsung,Galaxy Chromebook 2,HDD,4GB,500GB,Michael,Espinoza,7106609566,wagnerjimmy@example.net,Hector Robertson,Returns,Finance,44746,N/A,Offline,Low,0,191,25475,25441,572,978,25099,28049
North America,North Carolina,Concord,Jacks Hardware,2,Asus,ROG Zephyrus S GX701,HDD,4GB,500GB,Patrick,Green,5189869136,peckanthony@example.org,Brady Walton,Second-hand Sales,Finance,45354,45361,Online,Medium,0,26,21566,12154,548,949,18280,22734
North America,Illinois,Arlington Heights,Jacks Hardware,4,Acer,Aspire E 15,HDD,16GB,256GB,Amber,Goodwin,430.286.3788x5154,wrightpatrick@example.net,Kathleen Robinson,Second-hand Sales,Bank Transfer,45325,N/A,Offline,High,0,436,12942,0,613,718,12228,14807
Africa,Ghana,Central,ABC Computers,5,Samsung,Notebook 9,SSD,4GB,256GB,Timothy,Brown,773-182-3791x46259,jillsampson@example.com,Jonathan Miller,New Sales,Finance,44992,45006,Online,High,0,520,23006,49235,628,39,21440,25392
North America,California,San Bernardino,GH PC Shop,1,Lenovo,ThinkPad P15s,SSD,4GB,1TB,Charles,Davis,566-410-8863x77590,rebeccaadams@example.com,Sean Rodriguez,New Sales,Finance,45079,45086,Online,Medium,0,676,13664,23344,784,973,11092,14853
North America,Illinois,Arlington Heights,KyaSand Tech Gadgets,2,MSI,GP65 Leopard,HDD,2GB,1TB,Amy,Gomez,001-068-214-0596x5278,connerkeith@example.com,Amanda Mitchell,New Sales,Cash,45128,N/A,Offline,Medium,0,162,28996,0,651,886,27622,32021
Africa,Ethiopia,"Southern Nations, Nationalities, and Peoples Region (SNNPR)",LJ Computers,7,Toshiba,Dynabook,HDD,2GB,500GB,Steven,Pham,459.191.1321,sullivanjames@example.org,Michael Summers,Second-hand Sales,Finance,44569,44588,Online,High,0,823,13995,37332,516,168,11821,15554
Africa,Botswana,Kweneng,A & A PCs,7,HP,Stream,HDD,2GB,1TB,Beth,Russell,(757)341-5077x26550,gvaughn@example.org,Michael Byrd,New Sales,Cash,44416,N/A,Offline,Medium,0,488,15241,0,689,324,13832,16760
Africa,South Africa,Northern Cape,ABC Computers,6,Microsoft,Surface Book,HDD,16GB,256GB,Courtney,Johnson,808.186.0221x1465,dianafischer@example.org,Carol Smith,Repairs,Bank Transfer,45146,N/A,Offline,High,1140,817,13588,0,667,850,13214,16078
Africa,Ghana,Western,XYZ Tech,3,Dell,Venue,SSD,16GB,256GB,Matthew,Thomas,(407)856-6803x0870,jcooper@example.org,Amanda Hurley,New Sales,Cash,45155,N/A,Offline,Low,0,669,21980,0,741,298,20746,24938
Africa,Morocco,Guelmim,XYZ Tech,10,Toshiba,Satellite,SSD,8GB,1TB,Aaron,Spencer,107-106-9029x9115,stacey97@example.org,Kelly Mitchell,Repairs,Bank Transfer,44657,N/A,Offline,Low,3891,317,12164,0,568,704,8839,13271
North America,New York,Mount Vernon,ABC Computers,7,Acer,ConceptD 5,HDD,2GB,1TB,Steven,Alexander,001-915-147-5305,zadams@example.net,Kelsey Olson,Repairs,Bank Transfer,44927,44957,Online,Low,4717,123,25220,0,451,411,20990,25255
Africa,Ghana,Volta,A & A PCs,8,MSI,P65 Creator,SSD,2GB,256GB,Cameron,Jones,-6747,phillip03@example.net,Kevin Lee,Second-hand Sales,Bank Transfer,45216,N/A,Offline,Low,0,47,25546,0,520,234,22176,26293
Africa,Kenya,Makueni,S & A Computer Place,10,Acer,Spin 5,SSD,4GB,1TB,Ralph,Rodriguez,001-907-369-6538x9469,joseroth@example.net,Christopher Santos,New Sales,Finance,44542,44565,Online,Medium,0,694,23277,10464,671,915,20865,24690
North America,New York,Binghamton,CK Tech Store,3,Dell,G Series,HDD,8GB,256GB,Renee,Cooper,+1-192-343-3369x9179,gdavis@example.net,Natalie Jimenez,New Sales,Cash,44979,45002,Online,Medium,0,613,18288,0,725,859,16136,18675
Africa,Angola,Cuando Cubango,CK Tech Store,9,Apple,Apple iMac,SSD,2GB,500GB,Nicole,Payne,413-198-7204x0804,earl63@example.org,Hector Robertson,Returns,Cash,45278,45303,Online,Medium,0,825,12605,0,509,923,11762,15876
North America,California,San Jose,XYZ Tech,3,Apple,Apple Mac Pro,SSD,2GB,256GB,Christopher,Daniels,(643)104-8462,mellis@example.net,Sean Rodriguez,Second-hand Sales,Bank Transfer,44740,44766,Online,Medium,0,772,8390,0,621,394,7121,10387
North America,Pennsylvania,Lebanon,Mini Tech,8,Microsoft,Surface Laptop,HDD,2GB,256GB,Wanda,Cook,001-002-225-3366x0722,robertbarnes@example.com,Julia Dodson,Returns,Finance,44353,44365,Online,High,0,971,5977,29919,465,997,3601,6262
North America,California,San Jose,DEF Machines,4,Dell,Vostro,SSD,8GB,500GB,Dylan,Henry,401.414.4447,bailey23@example.com,Andrew Miranda,Returns,Cash,44495,N/A,Offline,Low,0,324,24313,0,645,733,22149,26540
North America,Georgia,Macon,Frankies Hardware and Software,7,Acer,Predator Helios 300,SSD,16GB,256GB,Debra,Bryant,+1-987-688-0384x967,maryhumphrey@example.net,Rebecca Brown,New Sales,Bank Transfer,45042,N/A,Offline,Low,0,413,27083,0,609,779,23823,28231
Africa,Egypt,Matrouh,LJ Computers,1,Lenovo,ThinkPad X13 Yoga,HDD,4GB,500GB,Rita,Chapman,(705)174-7371,hammondjulie@example.org,Michael Gibson,New Sales,Finance,45197,N/A,Offline,Medium,0,759,14149,46356,761,705,12847,14930
North America,Florida,Davie,GH PC Shop,3,HP,Stream,HDD,16GB,500GB,Willie,Reeves,-7323,marysmith@example.org,William Macdonald,Returns,Cash,44385,44392,Online,Low,0,174,20606,0,498,415,20012,23066
North America,New York,Syracuse,Frankies Hardware and Software,8,Asus,ROG Strix Scar III,HDD,8GB,1TB,Mason,Santiago,886.158.7356x9754,macdonaldmary@example.net,Kelsey Olson,Returns,Bank Transfer,45027,45046,Online,Medium,0,98,6082,0,652,316,3913,8584
North America,Florida,West Palm Beach,A & A PCs,2,HP,Envy,HDD,2GB,256GB,Scott,Thompson,661-062-8359x59205,vrogers@example.org,Deborah Anderson MD,Second-hand Sales,Cash,45277,45284,Online,Low,0,252,26459,0,821,15,24371,27551
Africa,Tanzania,Tabora,Western International PCs,6,Microsoft,Surface Hub,HDD,2GB,1TB,Tommy,Thompson,(208)022-4444x1460,jamesdaniel@example.org,Corey Rasmussen,New Sales,Cash,44602,44617,Online,High,0,914,28915,0,757,906,26475,29974
North America,California,Modesto,Benjis Tech,3,Toshiba,Portege,HDD,4GB,1TB,Ashley,Conrad,353.269.9299x294,hfreeman@example.net,Larry Smith,Returns,Bank Transfer,45215,45219,Online,High,0,429,18622,0,699,841,14781,18883
Africa,Nigeria,Adamawa,XYZ Tech,7,Acer,Aspire E 15,SSD,2GB,256GB,Luis,Guerrero,763.599.8783x07753,evansbrenda@example.org,Timothy Leach,Repairs,Finance,45168,45198,Online,Medium,2268,142,15079,7222,453,770,12197,15158
Africa,Kenya,Taita-Taveta,ABC Computers,2,Dell,Alienware,HDD,8GB,1TB,Bradley,Mccall,-4947,jeffmurphy@example.org,Cassandra Mcmillan,Second-hand Sales,Bank Transfer,44576,44594,Online,High,0,755,21466,0,765,910,20189,22913
North America,North Carolina,Charlotte,S & A Computer Place,7,HP,Spectre,HDD,16GB,1TB,Jeffrey,Martinez,232-497-5709x60368,uallen@example.net,Robert Wood,Repairs,Bank Transfer,44431,44433,Online,Low,3741,173,25609,0,555,887,25555,30055
Africa,South Africa,Mpumalanga,Jacks Hardware,5,HP,Elitebook,SSD,16GB,1TB,Michael,Murray,+1-672-463-4891x88806,lbrown@example.org,Mrs. Barbara Davenport,Second-hand Sales,Finance,45300,45303,Online,High,0,791,18146,14012,503,668,16881,20979
Africa,Kenya,Migori,GH PC Shop,8,Acer,Predator Helios 300,SSD,2GB,1TB,Lisa,Stephens,+1-590-612-8328x7385,mortiz@example.net,Jeffrey Cook,New Sales,Bank Transfer,44271,N/A,Offline,High,0,702,24992,0,727,696,23040,26135
North America,Florida,Tallahassee,GH PC Shop,9,Toshiba,Libretto,HDD,2GB,500GB,Grant,Day,001-992-824-3817x1218,pcontreras@example.org,Raymond Larson,New Sales,Cash,44941,N/A,Offline,High,0,130,17629,0,505,331,14469,17833
Africa,Botswana,North-East,Frankies Hardware and Software,4,Apple,Apple Lisa,HDD,4GB,256GB,Kenneth,White,+1-021-674-7422x4082,candacegibson@example.com,Lisa Williams,Second-hand Sales,Finance,45238,45265,Online,High,0,86,29256,27288,582,40,28966,32610
North America,Ohio,Springfield,XYZ Tech,4,MSI,Alpha 15,SSD,2GB,500GB,Nancy,Smith,854.880.1176x56848,underwoodkatie@example.org,Diamond Baker,Returns,Finance,45253,45281,Online,Medium,0,301,27723,48070,735,769,27582,31801
North America,California,Anaheim,Jacks Hardware,10,MSI,Modern 15,HDD,2GB,500GB,Michelle,Hancock,001-255-153-8979,michael68@example.org,Andrew Miranda,New Sales,Bank Transfer,44627,N/A,Offline,Low,0,641,31848,0,765,924,27749,31849
North America,Michigan,Troy,Benjis Tech,10,MSI,Alpha 15,SSD,4GB,256GB,Jared,Shaw,(870)728-4319x79069,amandaleach@example.com,Casey Dunn,New Sales,Cash,45025,45052,Online,Low,0,281,7451,0,701,154,4766,8559
Africa,Kenya,Kisii,ABC Computers,3,Apple,Apple iMac,SSD,8GB,1TB,Justin,Hunt,599.017.9541,kevin25@example.org,David Ellis,Second-hand Sales,Bank Transfer,45269,45294,Online,Low,0,52,17199,0,624,995,15695,18115
Africa,Tanzania,Katavi,Mini Tech,3,Acer,Chromebook Spin 311,HDD,16GB,500GB,David,Lowery,(987)428-5819x2567,maryduarte@example.com,Mitchell Atkins,New Sales,Finance,44651,44659,Online,Low,0,456,27366,5202,502,924,27252,32062
Africa,Ghana,Brong-Ahafo,KyaSand Tech Gadgets,4,Samsung,Galaxy Book S,HDD,4GB,256GB,Elizabeth,Smith,(599)594-2211,briannacordova@example.net,Jonathan Miller,Returns,Finance,44628,N/A,Offline,Medium,0,32,27347,19753,438,969,24544,27856
North America,Illinois,Tinley Park,ABC Computers,3,HP,Envy,SSD,4GB,1TB,Robert,Hernandez,001-489-083-9271,dawn93@example.com,Glenda Cohen,Returns,Cash,44440,44457,Online,Medium,0,59,25259,0,511,835,22615,25636
North America,California,Santa Ana,S & A Computer Place,10,Acer,Spin 5,HDD,16GB,1TB,Joshua,Terrell,001-113-825-1030x3622,juannavarro@example.net,Alyssa Martinez,Second-hand Sales,Finance,45113,N/A,Offline,High,0,335,25027,33812,821,418,21877,26655
North America,Illinois,Berwyn,KyaSand Tech Gadgets,8,Microsoft,Surface Studio,SSD,16GB,1TB,Cynthia,Short,(809)399-7684,jhaynes@example.com,Katie Fernandez,Repairs,Cash,45173,N/A,Offline,High,3652,413,27160,0,664,820,25396,28182
